Dist_ID,Dist_Name,Dist_Address,Dist_Phone,Dist_Email,Website,Purchase_Needs,Kind_of_product,Qty,Purchase_Price,DistProd_Name,DistProd_Desc
DBS0010,Kembang Goela Restaurant,"Jl. Jend. Sudirman No.Kav. 47-48, RT.5/RW.4, Karet Semanggi, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12920",215205651,-,-,Wortel,Lokal,150,14000,Makanan Siap Saji,
DBS0011,Plataran Menteng,"Jl. HOS. Cokroaminoto No.42 6, RT.6/RW.4, Gondangdia, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10350",2129627771,-,https://www.plataran.com/venues-dining/plataran-menteng,Tebu,Kuning,200,3000,Makanan Siap Saji,
DBS0012,Lara Djonggrang,"Telp: 021-3160288 / 021-3153252 | WA +62 811-9108-966, Jl. Teuku Cik Ditiro No.4, RT.3/RW.2, Gondangdia, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10350",8119108966,-,http://www.tuguhotels.com/restaurants/jakarta/laradjonggrang/,Timun,Lokal,50,9000,Makanan Siap Saji,
DBS0013,Bungarampai restaurant,"Jl. Teuku Cik Ditiro No.35 10, RT.10/RW.5, Menteng, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10310",2131926224,-,-,Kol,Putih,120,16000,Makanan Siap Saji,
DBS0014,Tugu Kunstkring Paleis,"Jalan Teuku Umar No.1 RW.1 Gondangdia Kecamatan Menteng Phone/WA 0812-82400-860, Jl. Teuku Umar No.1, RT.1/RW.1, Gondangdia, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10350",213900899,-,https://www.tuguhotels.com/restaurants/jakarta/kunstkring/,Kol,Putih,160,15000,Makanan Siap Saji,
DBS0015,Bungarampai restaurant,"Jl. Teuku Cik Ditiro No.35 10, RT.10/RW.5, Menteng, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10310",2131926224,-,-,Timun,Lokal,70,8000,Makanan Siap Saji,
DBS0016,Namaaz Dining,"Jl. Gunawarman No.42 4, RT.5/RW.2, Selong, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12110",8111557798,-,http://www.namaazdining.com/ ,Bawang Bombay ,Merah,60,27500,Makanan Siap Saji,
DBS0017,Seribu Rasa Menteng,"Jl. H. Agus Salim No.128, RT.1/RW.5, Menteng, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10310",213928892,,https://arenacorp.com/seribu-rasa,Jagung,Manis,120,3970,Makanan Siap Saji,
DBS0018,Java Kitchen - Grand Indonesia,"Grand Indonesia Shopping Town Sky Bridge West Mall Food Lover Lantai 3, Jalan MH.Thamrin No. 1, Menteng, Kb. Melati, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10310",2123580966,-,https://www.grand-indonesia.com/ ,Cabai,Merah,90,57700,Makanan Siap Saji,
DBS0019,Nusa Indonesian Gastronomy,"Jl. Kemang Raya Kemang No.81, RT.2/RW.2, Bangka, Kemang, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12730",217193954,-,http://www.nusagastronomy.com/,Wortel,Lokal,60,12000,Makanan Siap Saji,
DBS0020,Smarapura,"Jl. Tebet Timur Dalam II No.43, Tebet Tim., Kec. Tebet, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12820",81585233418,-,https://drive.google.com/drive/folders/1ukIuz9ZtxHNAKeQL2O_33Y4MtQXzBBX4,Cabai,Rawit,85,58300,Makanan Siap Saji,
DBS0021,Signatures Restaurant,"Hotel Indonesia Kempinski Jakarta, Jl. M.H. Thamrin No.1 1, RT.1/RW.5, Menteng, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10310",2123583898,-,https://www.kempinski.com/en/hotel-indonesia/restaurants-bars/signatures-restaurant?utm_medium=organic&utm_source=google&utm_campaign=KIJKT1&utm_content=gmb-restaurant&source=S308962248,Timun,Lokal,76,8039,Makanan Siap Saji,
DBS0022,Catappa Restaurant,"Jl H Benyamin Sueb Kav B6 Superblok Mega Kemayoran, RW.10, Gn. Sahari Sel., Kec. Kemayoran, JAKARTA, Daerah Khusus Ibukota Jakarta 10610",87804141988,-,https://all.accor.com/hotel/9896/index.en.shtml ,Kentang,Keju,90,16000,Makanan Siap Saji,
DBS0023,Serasa Indonesian Bistro,"M568+CHC, Cibatu, Cikarang Selatan, Bekasi Regency, West Java 17530",89624154220,-,-,Daun Bawang,Lokal,30,30000,Makanan Siap Saji,
DBS0024,Restoran Indonesia,"Jl. KH. ABD. Hamid No.23 14, RT.3/RW.3, Duri Kosambi, Kecamatan Cengkareng, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11750",-,-,-,Beras,Putih,77,12650,Makanan Siap Saji,
DBS0025,Roemah Kuliner,"Jl. Pangeran Diponegoro No.21, RT.1/RW.1, Pegangsaan, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10320",2131903773,-,-,Tomat,Lokal,88,20000,Makanan Siap Saji,
DBS0026,Nusa Indonesian Gastronomy,"Jl. Kemang Raya Kemang No.81, RT.2/RW.2, Bangka, Kemang, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12730",217193954,-,http://www.nusagastronomy.com/ ,Labu Kuning,Kuning,120,5000,Makanan Siap Saji,
DBS0027,RASA DAPOERKU,"perum permata cikarang timur blok osaka5 (o5) nomor 27 Rt/Rw 04/12, Jatireja, Kec. Cikarang Tim., Kabupaten Bekasi, Jawa Barat 17530",81375920690,-,https://rasa-dapoerku.business.site/?utm_source=gmb&utm_medium=referral,Cabai,Rawit,90,8039,Makanan Siap Saji,
DBS0028,Asuka Restaurant,"kawasan MM2100, Asuka hotel Lantai Dasar, Jl. Jawa Blok GG,Kawasan MM No.2100 blok GG, Danau Indah, Kec. Cikarang Bar., Kabupaten Bekasi, Jawa Barat 17530",218981430,-,http://asukahotel.id/restaurant/,Kol,Putih,150,6500,Makanan Siap Saji,
DBS0029,Dapur Bismillah,"Jl. Raya Industri Jl. Jababeka Raya No.30, Pasirsari, Cikarang Sel., Kabupaten Bekasi, Jawa Barat 17530",81212220966,-,-,Timun,Lokal,50,10899,Makanan Siap Saji,
DBS0030,Pabrik Gula Asembagus,"66XJ+Q5X, Jl. Raya Banyuwangi Situbondo, Trigonco Timur, Trigonco, Kec. Asembagus, Kabupaten Banyuwangi, Jawa Timur 68373",338451018,-,-,Tebu,HItam,4000000,4800,Gula,
DBS0031,Pabrik Gula Panji,"Jl. Raya Banyuwangi No.Km.3, Mimbaan Timur, Mimbaan, Kec. Panji, Kabupaten Situbondo, Jawa Timur 68322",338671814,-,-,Tebu,HItam,200000,4800,Gula,
DBS0032,Pabrik Gula Olean,"82F7+3PX, Jl. Laksda Adi Sucipto, Olean Tengah, Olean, Kec. Situbondo, Kabupaten Situbondo, Jawa Timur 68316",338671343,-,-,Tebu,Kuning,15000000,5000,Gula,
DBS0033,PG. WRINGIN ANOM,"Jl. Raya Wringin Anom, Wringin Timur, Wringinanom, Kec. Panarukan, Kabupaten Situbondo, Jawa Timur 68352",-,-,-,Tebu,Kuning,9000000,4400,Gula,
DBS0034,Pabrik Gula Prajekan,"5XQC+XW7, Jl. Raya Situbondo, Grundo, Prajekan Kidul, Kec. Prajekan, Kabupaten Bondowoso, Jawa Timur 68284",332561001,-,http://ptpn11.co.id/,Tebu,Kuning,6800000000,4900,Gula,
DBS0035,PT AKUFOOD & PT KIKKOMAN AKUFOOD INDONESIA,"Jababeka Industrial Estate 1 Blok W No.25, Harja Mekar, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",2189840120,-,https://www.kikkoman.id/,Tomat,Lokal,7000,20000,Sambal,
DBS0036,Sambal Kringz,"Jalan Golf II Jogoloyo No.111, Gn. Sari, Kec. Dukuhpakis, Surabaya, Jawa Timur 60224",87883042741,-,-,Cabai,Merah,100,53000,Sambal ,
DBS0037,Sambal D'Sus,"Jl. Masjid, RT.02/RW.02, Semambung, Kec. Jabon, Kabupaten Sidoarjo, Jawa Timur 61276",85706461379,,http://sambaldsus.lovestoblog.com/?i=1,Cabai,Rawit,150,56300,Sambal,
DBS0038,Sambal Tradisional Lariza,"Perum Magersari Permai AV 12, Gajah Timur, Magersari, Kec. Sidoarjo, Kabupaten Sidoarjo, Jawa Timur 61211",82257327408,-,-,Bawang Merah,Biasa,70,38900,Sambal,
DBS0039,Sambal Nyai Indonesia,"DESA PANJEREJO KIDUL RT 01 RW 12 NO 21, Panjerejo Kidul, Panjerejo, Kec. Rejotangan, Kabupaten Tulungagung, Jawa Timur 66293",82234966862,-,https://www.instagram.com/sambalnyai_id/,Tomat,Lokal,50,21000,Sambal,
DBS0040,PT. Wadah Pangan Makmur,"Jl. Raya Lingkar timur Km (Kilometer) 1.8, Windu Asri, Wadungasih, Kec. Buduran, Kabupaten Sidoarjo, Jawa Timur 61252",8118671220,-,-,Gandum,Kamut,36000000,58175,Tepung Gandum,
DBS0041,PT Halim Sari Gandum Prima,"Sampali, Kec. Percut Sei Tuan, Kabupaten Deli Serdang, Sumatera Utara 20242",-,-,-,Gandum,Kamut,20000,58175,Tepung Gandum,
DBS0042,Pt. Raja Tepung Indonesia,"L'Avenue office tower floor 20c Jl. Raya pasar minggu kav.16 Jakarta selatan, RT.1/RW.7, Duren Tiga, Kec. Pancoran, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12780",2180667171,-,http://www.rajatepungindonesia.com/,Gandum,Kamut,30000,57000,Tepung Gandum,
DBS0043,"PT. ISM, Tbk. Bogasari Flour Mills Surabaya","Jl. Nilam Timur No.16, Perak Utara, Kec. Pabean Cantikan, Surabaya, Jawa Timur 60165",313293081,-,http://www.bogasari.com/,Gandum,Kamut,500000000,56900,Tepung Gandum,
DBS0044,PT Murti Jaya Abadi,"Jl. Mayjend Sungkono No.15A, RW.1, Jagongan, Ngargosari, Kec. Kebomas, Kabupaten Gresik, Jawa Timur 61123",313975222,-,http://murtiflour.com/,Gandum,Kamut,70000000,57900,Tepung Gandum,
DBS0045,ISM Bogasari Flour Mills. PT,"JL Gubernur Subarjo, 18-23, Banjarmasin, Basirih, Banjarmasin Barat, Banjarmasin City, South Kalimantan 70117",-,-,-,Gandum,Kamut,8000000,57800,Tepung Gandum,
DBS0046,PT.Indoboga Makmur Sentosa,"Jl. Dukuh Kupang XXV No.16A, Dukuh Kupang, Kec. Dukuhpakis, Surabaya, Jawa Timur 60225",8123256899,-,https://indoboga.co.id/,Gandum,Emmer,120000000,56700,Tepung Gandum,
DBS0047,Sari Gandum Sukses Abadi. PT,"Jl. Kedungsari No.66 No. F, Kedungdoro, Kec. Tegalsari, Surabaya, Jawa Timur 60261",315482018,-,-,Gandum,Emmer,68890000,55000,Tepung Gandum,
DBS0048,PT Bungasari Flour Mills Indonesia,"Menara Astra, Jl. Jenderal Sudirman No.Kav. 5-6 28th Floor, RT.10/RW.11, Karet Tengsin, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10220",2157930777,-,http://www.bungasari.com/,Gandum,Emmer,56780000,58000,Tepung Gandum,
DBS0049,Pabrik Tepung,"JL. Silvanus, No. 99 RT 022/06, 64174, Segaran, Kec. Wates, Kabupaten Kediri, Jawa Timur 64174",354442420,-,-,Gandum,Emmer,760000000,57600,Tepung Gandum,
DBS0050,Pabrik Produksi Nata De Coco CV. Matco,"65CF+36W, Sindanglaka, Kec. Karangtengah, Kabupaten Cianjur, Jawa Barat 43281",85759373415,-,-,Kelapa,Genjah,11000000,7200,Nata De Coco,
DBS0051,Primaiska Nata de Coco,"Jl. Pramuka No.70, Sindanglaka, Kec. Karangtengah, Kabupaten Cianjur, Jawa Barat 43281",8562395521,-,-,Kelapa,Genjah,1000000,7250,Nata De Coco,
DBS0052,Nata De Coco Lampung,"Rw. Selapan, Kec. Candipuro, Kabupaten Lampung Selatan, Lampung 35356",82122200320,-,http://natadecocolampung.co.id/,Kelapa,Genjah,120000000,7000,Nata De Coco,
DBS0053,Nata Decoco 19,"Kedung Waringin, Kecamatan Bojonggede, Kabupaten Bogor, Jawa Barat 16920",81217815267,-,-,Kelapa,Genjah,500000,7100,Nata De Coco,
DBS0054,Sumico.Food Nata de Coco & Sirup Konsentrat Lemon,"Jl. Tatanugraha, Jayamekar, Kec. Baros, Kota Sukabumi, Jawa Barat 43166",8119402103,-,https://sumicofood-nata-de-coco.business.site/?utm_source=gmb&utm_medium=referral,Kelapa,Genjah,200000,7200,Nata De Coco,
DBS0055,"Pabrik kripik singkong "" UMI ""","Dusun Pertelon, RT.001/RW.001, Silo, Kec. Silo, Kabupaten Jember, Jawa Timur 68184",85217029849,-,-,Singkong,Gajah,100,12000,Keripik Singkong,
DBS0056,Cassava ndeso_BRK 13,"843C+G95, Unnamed Road, Beruk Wetan, Beruk, Jatiyoso, Karanganyar Regency, Central Java 57785",87836352929,-,-,Singkong,Gajah,60,12000,Olahan Singkong,
DBS0057,Susu Jagung Naura,"Jalan Raya Condet, Batu Alam Jaya Rt001/03 No 25, RT.1/RW.3, Batu Ampar, Kec. Kramat jati, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13520",85881918891,-,http://linktr.ee/NOWRA,Jagung,Manis,100,7180,Susu Jagung,
DBS0058,Distributor Jagung Amigo,"JL. Ikan Wiji Nongko, Blok D 16-17 Sobo, Perum Sobo Indah Permai, Penganjuran, Kec. Banyuwangi, Kabupaten Banyuwangi, Jawa Timur 68416",3338276362,-,-,Jagung,Manis,10000,7180,Jagung balan,
DBS0059,Distributor Jagung H. Choiron,"HP5J+89C, Jalan Raya, RT.004/RW.002, Kemiri, Sidoarjo, Sidoarjo Regency, East Java 61234",-,-,-,Jagung,Manis,265000,7000,Jagung balan,
DBS0060,"Distributor Jagung Manis ""KONCO TANI""","FPQV+WQ4, Jl. Mangunrejo, RT.3/RW.1, Ngesrep, Kec. Ngemplak, Kabupaten Boyolali, Jawa Tengah 57375",89663139182,-,-,Jagung,Manis,2000,7100,Sayur Jagung,
DBS0061,Distributor jagung pipil dan mixvegetable,"HQM2+5H5, Jl. Plered, Pengasinan, Kec. Sawangan, Kota Depok, Jawa Barat 16518",8977557489,-,-,Jagung,Ketan,25000,7150,Jagung balan,
DBS0062,Distributor jagung toko SINGGIH,"JHCV+G44, Jilamat, Kasalib, Kec. Wanadadi, Kab. Banjarnegara, Jawa Tengah 53461",81228648138,-,-,Jagung,Ketan,60000,7165,Jagung balan,
DBS0063,PT Subur Mega Perkasa,"Ruko Mega Galaxy 16C-5, Jl. Dr. Ir. H. Soekarno No.5, Klampis Ngasem, Sukolilo, Surabaya, East Java 60117",315995397,-,https://suburmegaperkasa.com/,Jagung,Ketan,76500000000,7165,Jagung balan,
DBS0064,UD Sido Mulyo,"Jl. Dr. Sutomo No.335, Sumber Gedang, Kec. Pandaan, Pasuruan, Jawa Timur 67156",0343631288,-,-,Jagung,Ketan,80000,7180,Beras Jagung,
DBS0065,Distributor tomat GUNA NIAGA,"Ps. Induk Tanah Tinggi Jl. Jend. Sudirman G blok E4 no 36 37 38 39, RT.004/RW.013, Tanah Tinggi, Kec. Tangerang, Kota Tangerang, Banten 15119",85282620003,-,-,Tomat,Lokal,1000,23000,Tomat Box,
DBS0066,UD. Tomato Collection,"Pedungan, Denpasar Selatan, Kota Denpasar, Bali 80222",-,-,-,Tomat,Lokal,60000000,22500,Tomat Box,
DBS0067,TOMAT JAYA,"5MG5+W3H, Wangunharja, Kec. Lembang, Kabupaten Bandung Barat, Jawa Barat 40391",82316612999,-,-,Tomat,Lokal,77000,21000,Sayur-sayuran,
DBS0068,DRW PUTRA BANDUNG,"Pusat Perdagangan Caringin, Jl. Soekarno Hatta Jl. Ps. Induk Caringin No.160 Blok E.0, Babakan Ciparay, Kec. Babakan Ciparay, Kota Bandung, Jawa Barat 40223",81288028055,-,-,Wortel,Lokal,5000000,15400,Wortel Balan,
DBS0069,Distributor wortel dan sayur segar,"Ps. Tradisional Jimbaran, Jl. Jimbaran No.12, RT.1/RW.no 1, Kluwihan, Jimbaran, Bandungan, Kabupaten Semarang, Jawa Tengah 50661",82116577770,-,-,Wortel,Lokal,100,16000,Sayur Mayur,
DBS0070,AGROWING,"Jl. Purnawarman, Lebak Sirna, Kec. Ciampea, Kabupaten Bogor, Jawa Barat 16620",81311337315,-,-,Wortel,Lokal,10000,15200,Sayur Mayur,
DBS0071,Supplier sayuran dan buah,"9, Jl. Raya Poncol No.8, RT.8/RW.9, Ciracas, Kec. Ciracas, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13740",81314876910,-,-,Sawi Putih,Putih,4500,9217,Sayur Mayur,
DBS0072,Dirga Farm,"Jl. Asem Lengkong Gudang No.47, Lengkong Gudang, Kec. Serpong, Kota Tangerang Selatan, Banten 15310",89607841320,-,-,Sawi Putih,Putih,150,9217,Sayur Mayur,
DBS0073,Toko JAJA,"Sentraland Blvd Jl. Mataram Raya No.17, Parung Panjang, Kec. Parung Panjang, Kabupaten Bogor, Jawa Barat 16360",-,-,-,Terong,Ungu,50,8000,Sayur Mayur,
DBS0074,Toko Sayur dan Buah Superuda,"Jl. Kramat Burung Kel No.6, Rangkapan Jaya, Kec. Pancoran Mas, Kota Depok, Jawa Barat 16435",82113075904,-,-,Pete,Aka,100,5500,Sayur Mayur,
DBS0075,CV. Dwijaya Store,"Pasar Serpong Blok C9,C10,C19,C20, Serpong, Kec. Serpong, Kota Tangerang Selatan, Banten 15310",81298593441,-,http://pedagangsayur.com/,Terong,Ungu,70,8000,Sayur Mayur,
DBS0076,WHC Supplier Sayur & Buah,"PV54+876, Jl. Raya Condet, RT.5/RW.3, Balekambang, Kec. Kramat jati, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta",85793929506,-,-,Kangkung,Lokal,80,2000,Sayur Mayur,
DBS0077,KEBUNDIDU,"Jl. Kiray No.3, Jl. Cimpaeun No.15, RT.02/RW.RW, Cimanggis, Kec. Tapos, Kota Depok, Jawa Barat 16959",81517277599,-,-,Kol,Putih,1200,8000,Sayur Mayur,
DBS0078,KEBUNDIDU,"Jl. Kiray No.3, Jl. Cimpaeun No.15, RT.02/RW.RW, Cimanggis, Kec. Tapos, Kota Depok, Jawa Barat 16959",81517277599,-,-,Bayam,Spinach,300,3000,Sayur Mayur,
DBS0079,Ayo Ngebuah,"Ruko Pd. Cabe Mutiara, D3, Pondok Cabe Udik, Pamulang, South Tangerang City, Banten 15418",2122743135,-,-,Pisang,Ambon,100,20000,Buah-buahan,
DBS0080,Distributor buah semangka,"Jl. Miftahussaadah, RT.003/RW.007, Ketapang, Kec. Cipondoh, Kota Tangerang, Banten 15147",-,-,-,Semangka,Banjarmasin,120,12000,Buah Semangka,
DBS0081,GRIYA BUAH,"Jl. Gatot Subroto No.89, RT.002/RW.006, Keroncong, Kec. Jatiuwung, Kota Tangerang, Banten 15134",895368438590,-,https://griya-buah-buah-import-lokal.business.site/?utm_source=gmb&utm_medium=referral,Mangga,Arumanis,70,8000,Buah-buahan,
DBS0082,Andhika Supplier,"Jl. Tanjung Duren Timur No.35c, RT.3/RW.1, Tj. Duren Sel., Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11470",2129336895,-,-,Alpukat,hass,50,36000,Buah-buahan,
DBS0083,PB. BUAH SEGAR ONLINE,"Jl aria putra, Jl. Suka Mandiri No.38, RT.003/RW.001, Serua Indah, Kec. Ciputat, Kota Tangerang Selatan, Banten 15414",85655888864,-,https://buahsegaronline.business.site/,Alpukat,Zutano,70,36000,Buah-buahan,
DBS0084,SINAR BUAH,"Jl. Pisangan Baru Tengah No.8, RT.8/RW.11, Pisangan Baru, Kec. Matraman, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13110",85695848215,-,-,Apel,Merah,100,33000,Buah-buahan,
DBS0085,Distributor Kopi Robusta dan Arabika,"6, Jl. Anyer 3 No.28, RT.6/RW.2, Menteng, Jakarta, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10310",81932145461,-,https://distributor-kopi-robusta-dan-arabika.business.site/?utm_source=gmb&utm_medium=referral,Kopi Robusta,Robusta,300,60950,Kopi Kemasan,
DBS0086,Coffeenangsiamang,"7, Jl. Pertani Gg. I No.45, RT.8/RW.3, Duren Tiga, Kec. Pancoran, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12760",81212662030,-,-,Kopi Robusta,Robusta,180,60950,Kopi Kemasan,
DBS0087,Supplier Kopi Gayo,"Jl. Kramat Sentiong 1 No.D92, RT.11/RW.5, Kramat, Kec. Senen, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10450",85817210714,-,https://supplierkopigayo.business.site/?utm_source=gmb&utm_medium=referral,Kopi,Gayo,20,150149,Kopi Kemasan,
DBS0088,PT Langgeng Makmur Kencana,"Jl. Kyai Caringin No.10A, RT.11/RW.4, Cideng, Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10150",81770578789,-,http://kenal.coffee/,Kopi,Arabika,1000,60950,Kopi Kemasan,
DBS0089,PT. Biji Kopi International,"Lengkong Kulon, Kec. Pagedangan, Kabupaten Tangerang, Banten 15331",8811860297,-,-,Kopi,Arabika,120,60000,Kopi Minuman,
DBS0090,Fatherscoffee1,"Jl. Bambu Indah No.27, RT.9/RW.3, Kalisari, Kec. Ps. Rebo, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13790",81350008261,-,-,Kopi,Arabika,400,60000,Kopi Kemasan,
DBS0091,Nagadi Coffee,"Ruko Puri Mansion, Jl. Lkr. Luar Barat No.23 blok a, RT.2/RW.1, Kembangan Sel., Kec. Kembangan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11610",2129521858,-,-,Kopi,Arabika,200,60000,Kopi Minuman,
DBS0092,Dewa Snack,"Jl. Cucarawa No.90, RT.2/RW.4, Pd. Aren, Kec. Pd. Aren, Kota Tangerang Selatan, Banten 15224",81292255229,-,https://keripiksangdewa.blogspot.com/,Kopi,Gayo,225,60000,Kopi Minuman,
DBS0093,pisang Cavendish Sunpride Sunfres,"Jl. Kelenteng, Ciroyom, Kec. Andir, Kota Bandung, Jawa Barat 40182",81809638339,-,https://pisang-cavendish-sunpride-sunfres.business.site/?utm_source=gmb&utm_medium=referral,Pisang,Ambon,120,20000,Buah Pisang,
DBS0094,AGEN SALE PISANG SILEUGIT,"Kp.ciluncat RT.02/03, Ciluncat, Kec. Cangkuang, Kab.bandung selatan, Jawa Barat 40238",81385164331,-,-,Pisang,Ambon,50,20000,Sale Pisang,
DBS0095,Pabrik Sale pisang Crispy,"Jl. Jend. Sudirman No.695, Cibuntu, Kec. Bandung Kulon, Kota Bandung, Jawa Barat 40212",81220332929,-,-,Pisang,Ambon,120,20000,Sale Pisang,
DBS0096,Rose Brand,"Jl. Naripan No.80, Kb. Pisang, Kec. Sumur Bandung, Kota Bandung, Jawa Barat 40112",-,-,-,Pisang,Ambon,120,19500,Pisang,
DBS0097,Distributor Pisang Barangan Mas Udin,"Jl. Raya Inpres, RT.3/RW.2, Kp. Tengah, Kec. Kramat jati, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13510",85311210454,-,-,Pisang,Ambon,120,19500,Pisang,
DBS0098,Susu kedelai sidoarjo,"DEPAN MASJID BESAR NURUL HUDA, Jl. Brigjend Katamso V No.76, RT.02/RW.01, Mekar Raya Binangun, Janti, Kec. Waru, Kabupaten Sidoarjo, Jawa Timur 61256",85707466415,-,-,Kedelai,Kuning,120,10000,Susu Kedelai,
DBS0099,Jahe'in Aja Hankam,"Jl. Raya Hankam No.99, RT.003/RW.1, Jatiranggon, Kec. Jatisampurna, Kota Bks, Jawa Barat 17415",82124105569,-,-,Jahe,Emprit,200,22000,Susu Jahe Merah Kupas,
